GROSS SQUARE FEET	 SALE PRICE 
"9,999"	"7,900,000"
"9,960"	"4,420,290"
"9,960"	10
"9,920"	0
"9,920"	0
"9,916"	0
"9,915"	"7,050,000"
"9,913"	"8,000,000"
"9,905"	"2,295,000"
"9,900"	"4,650,000"
"9,890"	"51,740,000"
"9,880"	"6,000,000"
"9,869"	"9,250,000"
"9,865"	10
"9,855"	"11,650,000"
"9,855"	"11,650,000"
"9,790"	"4,550,000"
"9,780"	"26,500,000"
"9,767"	"6,675,000"
"9,765"	"1,989,844"
"9,765"	"16,500,000"
"9,750"	"158,822"
"9,750"	"6,000,000"
"9,750"	"7,500,000"
"9,750"	"7,500,000"
"9,745"	"6,700,000"
"9,738"	"10,000,000"
"9,735"	0
"9,700"	"6,995,000"
"9,700"	"3,450,000"
"9,660"	0
"9,655"	0
"9,655"	0
"9,645"	"5,700,000"
"9,620"	0
"9,620"	0
"9,600"	0
"9,595"	"8,455,851"
"9,540"	"5,400,000"
"9,540"	"10,450,000"
"9,530"	"932,011"
"9,530"	"1,770,822"
"9,523"	"2,965,000"
"9,500"	0
"9,490"	0
"9,485"	"5,800,000"
"9,462"	0
"9,440"	"16,666,667"
"9,433"	"5,100,000"
"9,410"	"436,642"
"9,390"	"12,988,352"
"9,390"	"7,000,000"
"9,352"	"10,375,000"
"9,345"	"27,500,000"
"9,344"	"14,500,000"
"9,339"	"31,500,000"
"9,302"	"17,500,000"
"9,300"	"6,800,000"
"9,295"	0
"9,295"	"5,882,074"
"9,295"	"8,937,500"
"9,293"	"8,525,000"
"9,285"	"2,609,632"
"9,270"	0
"9,265"	0
"9,257"	0
"9,249"	"5,150,000"
"9,240"	"16,666,667"
"9,214"	"1,225,000"
"9,190"	"2,600,000"
"9,190"	"11,200,800"
"9,180"	0
"9,157"	0
"9,115"	"26,000,000"
"9,041"	"41,500,000"
"9,035"	0
"9,020"	"7,225,000"
"9,015"	"4,900,000"
"9,000"	"19,800,000"
"9,000"	"18,400,000"
"8,915"	"4,930,000"
"8,888"	0
"8,885"	0
"8,875"	0
"8,870"	"4,400,000"
"8,860"	"15,200,000"
"8,850"	"2,295,000"
"8,784"	"7,466,783"
"8,765"	"565,000"
"8,760"	0
"8,760"	0
"8,760"	"6,972,054"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"42,500"
"8,760"	"346,883"
"8,760"	"42,500"
"8,760"	"346,883"
"8,760"	"346,883"
"8,750"	0
"8,747"	"32,000,000"
"8,745"	0
"8,735"	"1,218,248"
"8,702"	"32,000,000"
"8,670"	0
"8,648"	"2,356,000"
"8,646"	"11,500,000"
"8,628"	"16,250,000"
"8,625"	"16,800,000"
"8,625"	"16,800,000"
"8,625"	0
"8,615"	"7,550,000"
"8,615"	"7,550,000"
"8,562"	"35,000,000"
"8,542"	"26,000,000"
"8,540"	0
"8,525"	0
"8,503"	0
"8,495"	"4,000,000"
"8,441"	0
"8,420"	0
"8,415"	"10,000,000"
"8,406"	"8,850,000"
"8,395"	0
"8,395"	"5,283,970"
"8,370"	0
"8,342"	"5,226,000"
"8,316"	"9,250,000"
"8,300"	"19,300,000"
"8,280"	"2,989,081"
"8,270"	"7,750,000"
"8,250"	"5,800,000"
"8,221"	"27,000,000"
